"subject","type","item","condition","question","correct_answer","response","response_time","group_G","question_type_G","ambiguity_G","ambiguity","group","question_type"
"Native 1","gp",14,"b","!","{The_doctor_woke_himself_up}",1,3844,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 1","gp",3,"c","!","{The_president}",1,1844,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 1","gp",4,"d","!","{The_friend}",1,2138,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 1","gp",7,"c","!","{The_lady}",1,1510,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 1","gp",9,"a","!","{The_pianist_calmed_himself_down}",1,3042,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 1","gp",6,"b","!","{The_two_kids_fought_each_other}",1,3319,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 1","gp",5,"a","!","{The_father_washed_the_boy}",0,2108,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 1","gp",20,"d","!","{The_man}",1,1897,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 1","gp",19,"c","!","{The_basketball_player}",1,2853,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 1","gp",17,"a","!","{The_two_men_fought_each_other}",1,3400,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 1","gp",2,"b","!","{The_mother_dressed_herself}",1,3563,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 1","gp",12,"d","!","{The_baby}",1,1747,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 1","gp",18,"b","!","{The_father_washed_himself}",1,2748,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 1","gp",1,"a","!","{The_lawyer_calmed_himself_down}",1,4765,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 1","gp",10,"b","!","{The_two_soldiers_fought_each_other}",1,3444,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 1","gp",11,"c","!","{The_friend}",1,1691,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 1","gp",13,"a","!","{The_girl_calmed_herself_down}",1,1904,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 1","gp",24,"d","!","{The_director}",1,2375,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 1","gp",16,"d","!","{The_assistant}",1,1960,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 1","gp",21,"a","!","{Anna_dressed_herself}",1,1626,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 1","gp",22,"b","!","{The_two_footballers_fought_each_other}",1,2226,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 1","gp",15,"c","!","{The_boy}",1,3248,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 1","gp",23,"c","!","{The_child}",1,4003,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 1","gp",8,"d","!","{The_boy}",1,1513,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 2","gp",16,"a","!","{The_researcher_woke_himself_up}",1,3657,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 2","gp",17,"b","!","{The_two_men_fought_each_other}",1,2911,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 2","gp",4,"a","!","{The_two_children_hugged_their_friend}",0,2561,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 2","gp",15,"d","!","{The_boy}",1,1028,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 2","gp",2,"c","!","{The_mother}",0,2794,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 2","gp",10,"c","!","{The_two_soldiers}",0,1124,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 2","gp",6,"c","!","{The_neighbour}",1,972,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 2","gp",19,"d","!","{The_basketball_player}",1,1542,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 2","gp",20,"a","!","{The_two_friends_met_each_other}",1,2585,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 2","gp",14,"c","!","{The_nurse}",1,1586,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 2","gp",8,"a","!","{Mary_dressed_the_boy}",0,1956,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 2","gp",1,"b","!","{The_lawyer_calmed_himself_down}",1,2505,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 2","gp",12,"a","!","{The_nurse_washed_the_baby}",0,2174,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 2","gp",24,"a","!","{The_two_actresses_met_the_director}",0,2652,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 2","gp",3,"d","!","{The_president}",1,1444,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 2","gp",23,"d","!","{The_child}",1,1108,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 2","gp",9,"b","!","{The_pianist_calmed_himself_down}",1,3468,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 2","gp",5,"b","!","{The_father_washed_himself}",1,1921,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 2","gp",11,"d","!","{The_friend}",1,1136,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 2","gp",21,"b","!","{Anna_dressed_herself}",1,1236,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 2","gp",18,"c","!","{The_baby}",1,2386,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 2","gp",22,"c","!","{The_coach}",1,2255,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 2","gp",13,"b","!","{The_girl_calmed_herself_down}",1,1454,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 2","gp",7,"d","!","{The_lady}",1,953,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 3","gp",4,"b","!","{The_two_children_hugged_each_other}",1,4729,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 3","gp",20,"b","!","{The_two_friends_met_each_other}",1,3223,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 3","gp",12,"b","!","{The_nurse_washed_herself}",1,3367,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 3","gp",18,"d","!","{The_baby}",1,1989,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 3","gp",22,"d","!","{The_coach}",1,2556,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 3","gp",9,"c","!","{The_pianist}",0,12669,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 3","gp",6,"d","!","{The_neighbour}",1,1922,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 3","gp",13,"c","!","{The_boy}",1,1870,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 3","gp",24,"b","!","{The_two_actresses_met_each_other}",1,2743,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 3","gp",15,"a","!","{The_aunt_dressed_herself}",1,2633,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 3","gp",23,"a","!","{The_mother_washed_herself}",1,1790,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 3","gp",1,"c","!","{The_man}",1,1631,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 3","gp",14,"d","!","{The_nurse}",1,1757,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 3","gp",7,"a","!","{The_man_woke_himself_up}",1,3518,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 3","gp",16,"b","!","{The_researcher_woke_himself_up}",1,2973,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 3","gp",11,"a","!","{The_lady_woke_herself_up}",1,2909,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 3","gp",21,"c","!","{The_child}",1,2411,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 3","gp",19,"a","!","{The_coach_calmed_himself_down}",1,3495,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 3","gp",5,"c","!","{The_boy}",1,3324,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 3","gp",3,"a","!","{The_two_journalists_met_each_other}",1,2618,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 3","gp",10,"d","!","{The_General}",1,2177,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 3","gp",17,"c","!","{The_terrorist}",1,2360,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 3","gp",8,"b","!","{Mary_dressed_herself}",1,3633,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 3","gp",2,"d","!","{The_baby}",1,1910,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 4","gp",11,"b","!","{The_lady_woke_herself_up}",1,2515,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 4","gp",12,"c","!","{The_baby}",1,1212,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 4","gp",21,"d","!","{The_child}",1,1585,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 4","gp",24,"c","!","{The_actresses}",0,2472,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 4","gp",17,"d","!","{The_terrorist}",1,1088,"Native","Main_Clause_Question","Unambiguous",-0.5,-0.5,0.5
"Native 4","gp",6,"a","!","{The_two_kids_fought_each_other}",1,2739,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 4","gp",4,"c","!","{The_friend}",1,1058,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 4","gp",16,"c","!","{The_assistant}",1,3170,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 4","gp",2,"a","!","{The_mother_dressed_the_baby}",0,1869,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
"Native 4","gp",15,"b","!","{The_aunt_dressed_herself}",1,1286,"Native","Subordinate_Clause_Question","Unambiguous",-0.5,-0.5,-0.5
"Native 4","gp",8,"c","!","{The_boy}",1,2749,"Native","Main_Clause_Question","Ambiguous",0.5,-0.5,0.5
"Native 4","gp",14,"a","!","{The_doctor_woke_himself_up}",1,1580,"Native","Subordinate_Clause_Question","Ambiguous",0.5,-0.5,-0.5
